Date;Week Day;Total Screen Time;Social Networking;Reading and Reference;Other;Productivity;Health and Fitness;Entertainment;Creativity;Yoga,,,,,,,,,
04/17/19;Wednesday;187;89;17;41;22;0;0;0;0,,,,,,,,,
04/18/19;Thursday;123;78;17;8;9;0;0;0;0,,,,,,,,,
04/19/19;Friday;112;52;40;8;4;0;3;0;0,,,,,,,,,
04/20/19;Saturday;101;69;9;38;2;0;3;0;0,,,,,,,,,
04/21/19;Sunday;56;35;2;43;3;0;1;1;0,,,,,,,,,
04/22/19;Monday;189;68;0;9;3;4;0;0;0,,,,,,,,,
04/23/19;Tuesday;158;56;18;41;12;15;0;0;0,,,,,,,,,
04/24/19;Wednesday;135;98;3;33;16;0;0;0;0,,,,,,,,,
04/25/19;Thursday;52;25;7;3;16;0;0;0;0,,,,,,,,,
04/26/19;Friday;198;76;8;29;15;0;32;0;0,,,,,,,,,
04/27/19;Saturday;116;75;10;20;5;0;0;0;0,,,,,,,,,
04/28/19;Sunday;85;42;22;4;2;0;0;0;0,,,,,,,,,
04/29/19;Monday;109;46;8;13;9;15;1;0;1,,,,,,,,,
04/30/19;Tuesday;79;40;2;9;12;0;0;0;1,,,,,,,,,
5.01.2019;Wednesday;127;90;0;10;7;0;0;0;1,,,,,,,,,
5.02.2019;Thursday;170;60;3;2;11;0;0;0;1,,,,,,,,,
5.03.2019;Friday;91;64;2;18;5;1;1;2;1,,,,,,,,,
5.04.2019;Saturday;58;34;4;5;3;0;1;0;1,,,,,,,,,
5.05.2019;Sunday;133;109;5;1;3;0;0;0;1,,,,,,,,,
5.06.2019;Monday;144;81;4;5;3;0;0;0;1,,,,,,,,,
5.07.2019;Tuesday;110;70;5;6;15;0;9;0;1,,,,,,,,,
5.08.2019;Wednesday;122;53;25;26;15;0;0;0;1,,,,,,,,,
5.09.2019;Thursday;96;42;15;16;19;0;0;0;1,,,,,,,,,
5.10.2019;Friday;161;93;13;17;16;1;0;0;1,,,,,,,,,
5.11.2019;Saturday;58;49;1;2;2;0;0;2;1,,,,,,,,,
5.12.2019;Sunday;52;28;1;1;6;0;0;1;1,,,,,,,,,
05/13/19;Monday;61;37;1;0;4;0;0;0;1,,,,,,,,,
05/14/19;Tuesday;88;41;2;7;15;0;0;0;1,,,,,,,,,
;;;;;;;;;;,,,,,,,,,
;Mean;113,25;60,71428571;8,714285714;14,82142857;9,071428571;1,285714286;1,821428571;0,214285714;0,571428571
;Standard Deviation;42,77735132;22,44176136;9,172385353;13,50675379;5,987657373;3,880879345;6,077203136;0,557874977;0,494871659
